scene_id;prompt;negative;aspect_ratio
S001;"Cinematic shot, 55-year-old man in armchair, thick carpet, sunlit room 8th floor, window view of Dnipro river, Zaporizhzhia 2024, Kodak Portra 400, 35mm lens --ar 16:9";"cyberpunk, modern, low quality";"16:9"
S002,"Vintage 1970s Soviet kindergarten courtyard, children playing, boy looking at girl, warm golden hour, Fujifilm Superia --ar 16:9","modern toys, neon";"16:9"
S003,"1970s Soviet school September 1st, children in uniforms, one boy with bloody face, dramatic lighting, 50mm lens --ar 16:9","modern, clean";"16:9"
S004,"1970s Soviet school corridor, boy with broken arm in cast, strict teacher, soft window light, 85mm lens --ar 16:9","hospital, modern";"16:9"
S005,"Soviet courtyard football 1970s, boys playing, older teen yelling, dusty ground, Ilford B&W --ar 16:9","stadium, bright";"16:9"
S006,"Soviet athletics stadium 1970s, teenage boy with running spikes, laughing with friend, sunny day, 35mm --ar 16:9","modern shoes";"16:9"
S007,"Two Soviet teenagers in park, transition to Ukrainian policeman with family, split composition, warm tone --ar 16:9","crime, weapons";"16:9"
S008,"1970s Soviet classroom, boy at chalkboard, newspaper on desk, warm lighting, Kodak Portra 400 --ar 16:9","computers, empty";"16:9"
S009,"Nighttime Dnipro river 1980s, graduates celebrating, drunk young man, cinematic moonlight, Fujifilm Eterna --ar 16:9","daylight, modern club";"16:9"
S010,"1980s Soviet vocational school exterior, tiler workshop, industrial lighting, documentary style --ar 16:9","modern university";"16:9"
S011,"1980s Soviet apartment, two teens skipping school watching CRT TV, chiaroscuro from screen --ar 16:9","flat screen, bright";"16:9"
S012,"1980s Soviet courtyard, four men playing cards Bura, tense, money on table, gritty lighting, 50mm --ar 16:9","casino, bright lights";"16:9"
S013,"1980s Soviet kitchen, serious conversation, rotary phone, view of Steklyashka cafe --ar 16:9","smartphones, modern";"16:9"
S014,"Dark 1980s apartment, angry father, teenage boy running to dark park, thriller lighting, Fujifilm Eterna --ar 16:9","daylight, comedy";"16:9"
S015,"Warm 1980s Soviet kitchen, mother hugging son, food on table, reunion, soft tungsten, 85mm --ar 16:9","cold, empty";"16:9"
S016,"1980s Soviet factory workshop, locksmith, metal sparks, industrial lighting, wide shot --ar 16:9","clean office, modern";"16:9"
S017,"1980s evening school corridor, meeting with frightened friend and his mother, fluorescent light --ar 16:9","sunlight, outdoor";"16:9"
S018,"1980s Soviet courtyard, two boys shaking hands in reconciliation, mother watching, warm light --ar 16:9","fighting, police";"16:9"
S019,"1990s Zaporizhzhia, fountain near Intourist hotel, man talking to drug-addicted guy, melancholic, film grain --ar 16:9","bright, party";"16:9"
S020,"1980s Soviet factory, two locksmiths listening to reel-to-reel tape recorder, nostalgic friendship --ar 16:9","modern speakers";"16:9"
S021,"1980s Soviet hair salon, young man with chocolates, female hairdresser, vintage mirrors, awkward moment --ar 16:9","modern barbershop";"16:9"
S022,"1980s Soviet restaurant, empty, two teens with two older men, vintage dining, soft lighting --ar 16:9","fast food, neon";"16:9"
S023,"Soviet factory changing room, naked injured man running out, two attackers punching, brutal fight scene, dark corridor, Fujifilm Eterna 500T --ar 16:9","daylight, happy, clean";"16:9"
S024,"Dark winter street 1990s, two men talking, one with bruises, mysterious atmosphere, snow on ground, film grain --ar 16:9","bright daylight, modern";"16:9"
S025,"December dark park Ukraine, beautiful elegantly dressed woman sitting on bench, street lamp glow, mysterious noir atmosphere, 85mm lens --ar 16:9","daylight, modern clothes";"16:9"
S026,"Elegant woman in fur coat, mysterious portrait, KGB officer aesthetic, dark vintage photography, Nova --ar 16:9","casual, modern";"16:9"
S027,"Open field at night, man with metal detector finding buried metal box, gold jewelry inside, dramatic flashlight beam --ar 16:9","daytime, modern city";"16:9"
S028,"Zaporizhzhia registry office, wedding couple, joyful atmosphere, then airplane taking off, New York City skyline, Statue of Liberty --ar 16:9","sad, dark";"16:9"
S029,"Forest path near Washington DC, injured cyclist on ground, man kneeling beside him, emergency services arriving, autumn evening --ar 16:9","happy, daylight";"16:9"
S030,"Luxurious American office, older influential businessman shaking hands with grateful younger man, mahogany desk, portrait background --ar 16:9","poor, casual";"16:9"
S031,"Dark basement room, polygraph machine, bound eyes, mysterious initiation ceremony, 20 people in shadows, thriller lighting --ar 16:9","bright daylight, happy";"16:9"
S032,"Dark room, serious conversation, before and after plastic surgery concept, burning photographs, transformation theme --ar 16:9","happy, bright";"16:9"
S033,"American suburban life, man in suit with American wife, charity event, political campaign posters, new identity --ar 16:9","poor, sad";"16:9"
S034,"US Capitol building, election night crowd, winner on stage, then Oval Office desk, presidential seal, winter evening --ar 16:9","defeat, empty";"16:9"
S035,"Remote island landscape, foggy, two men embracing, emotional reunion, dramatic seascape, Faroe Islands --ar 16:9","crowded, sunny";"16:9"
S036,"Underground castle London, gold museum, Ivan the Terrible library, mysterious glass chamber with frozen figure, cinematic thriller --ar 16:9","daylight, above ground";"16:9"
S037,"Dark underground lair, young charismatic leader addressing, screens showing world population data, dystopian sci-fi, Nova --ar 16:9","happy, daylight";"16:9"
S038,"Operating room, plastic surgery, then airplane flying, Kyiv landing, man looking at Ukrainian sunrise, rebirth theme --ar 16:9","dark, sad";"16:9"
S039,"Zaporizhzhia street morning, couple running toward each other, embrace, sun rising, emotional reunion --ar 16:9","separation, night";"16:9"
S040,"Quiet apartment night, ringing telephone, silhouette of man listening, dramatic lighting, ending theme --ar 16:9","daylight, happy";"16:9"
